Proportion(%),Working_years(y),Parental_leave(%),Overtime_hours(h),Annual_leave(%),Management_proportion(%)
12,1.5,,9.9,,0
76.8,5.8,82.4,5,,33.3
44.9,9.3,100,8.8,,26.6
29,9.8,,0,,28.1
,4.2,,,,11.8
,,,,,20
,4.4,100,14.2,74.4,4.9
,,,,,
,4,100,,,73.3
0,0,,20,50,0
,,,,,
76.5,2.3,,2.6,,40
,,,,,
32,10,,0,59,
,,,,,
,,,7.8,,38.7
7,10.9,100,18,,
,,,,,
,,,15,,0
70.9,5,100,,54.4,60.8
,,,,,
2.7,15.7,100,,65.9,0
33.2,6.1,,,,18.1
,,,,,
46.1,15.7,100,,58.1,25.1
,,,,,
37.1,10.3,100,19.7,53.8,3.7
3,3.2,0,23.1,43.9,1.1
,,,,,
,,,,,
,,,,,
,,3.6,,,50
,,100,,,60.7
34.5,12.2,100,2.8,57.4,
,,,,,
,,,,,
33,20,100,18,30,0
32.4,6.9,100,16.5,35.8,10.3
,,,,,
,,,,,
,,,,,11.8
,,,,,0
59.7,6.5,100,0.3,86.5,50
16.7,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1.7,10.3,,22.2,29.1,
42.9,,,6.5,59.3,
34.4,9.8,100,13.1,63.9,10.3
,,,,,
25,23.3,,,,
,,,,,
,,,22.2,,21.2
,,,,,
68.4,8.8,100,3.2,58.7,42.9
85,6,,,,
,,,,21,
,11.5,,12,,
,22,100,14,,12.1
4,29,,,,3.4
,,,,46.8,
,,,,,
,11,,,,21.6
,,,,,
0,,,,,
,,,,,27.3
48,18.7,,,,25.6
,,,,,
53.1,5,119.3,17.1,71.5,7.6
,,,,,
,,,,,
,,,,,
,,,,,
,18,,,,14.3
,,,30,,14.3
,,,,,
9,,,22,,0
,,,,,28.6
,,,,,
,,,37,61,
,4.9,,,,
,9.6,,,,
,,,,,
44,12,100,8.4,38.6,21.6
,,,0.1,,33.3
,6.2,,19.7,16.4,0
40,15.7,100,,51.6,22.2
0,0,0,10,10,0
,,,,,
,,,,,
,,,,,
,,,,,0
46,10.9,100,14,47.2,10.3
50,10,50,10,100,5
,,,,,
,,,,,8.1
81.8,,,,,
,,,,,
,10.1,,,,9
0,6,0,20,46,0
,,,,,
54,,,15,,7.6
,,,14,,0
,7.5,100,,,42.8
,8.9,100,,76.9,15.2
,,,,,
,,,14.4,,13.7
,,,,35,
8.7,15.8,100,8.1,39.1,4.3
,19.8,,14.2,,2.6
83,,,,,
,6.6,,,,
16.3,,98,,23.3,30.7
,,,,,
,,,,51,0
,,,,,
,,,,,
,,,,,
35.5,15.5,100,6.8,62,33.3
