Proportion(%),Working_years(y),Parental_leave(%),Overtime_hours(h),Annual_leave(%),Management_proportion(%)
,,,,,
12,3.6,,,,
,,,,,
50,5,100,11.9,22.1,0
,,,,,0
,,,,,
100,,,20,100,50
72,,,7.7,,
,,,,,
,,,6.7,,
17.2,14.8,100,35.1,,21
,8.8,,,,
46,8.2,,18.4,,13
,,,,,
,,,,,
,2,,10,20,50
20,3.1,,,,12.5
,11.3,,,,
,,,0.9,,
,12.4,105,3.7,63.6,4.9
59.8,6.4,100,,71,25
,,,,,
10.5,10,0.6,12,,10.5
,,,13,20,33
,,,,,
56.2,,,5,,55.8
,,,,,
,,,,,
31,,,24.2,,0
,,,,,
,,,,,
,,,,,
50,,,15,,50
100,,,,,25
,,,,,
,,,,,
1,1,,,,
,,,,,
,,,,,
,,,,,
,,,,,
12,,,,,
56.5,,,,,
19.7,9.4,100,14.5,76.5,
0,5,,,,50
,,,,,40
,9.3,,,,0
12.4,3.1,100,28.6,71,0
,,,,,16.7
35.1,11.6,100,0,37.2,12.1
50,5,,0,50,
28.4,,100,,,
,,,,,
,,,,,
17,21.7,,21.5,,1.1
,,,,,
,,,,,
15,16.3,,,,
,,,,,
,,,,,
,,,14,,
78.6,8.6,100,,65.5,64.8
,,100,,,
,,,,,
28.2,3.3,,,59.6,20
36.8,,,,93.6,16.6
,,,,,
,,,,,
,,,,57,
,,,,,
,,,,,
,,,0,,0
6.3,,0,41,,0
,,,,,
,,,,,
,,,,,
,,,,,
18.1,13.7,100,20.6,49.8,11.4
,10,,11.9,,12.8
,,,,60,
,,,6,,0
,,,,,
8.3,0.6,,1.7,,
,,,,,
10,,,30,,0
,,,,,
,,,,,18.1
,,,,,
,,,,,
,,,,,
,8,,8.3,,66.7
,,,6.6,75.9,53.1
50.1,8,100,8.6,,10.7
,,,,,
11.5,,,,,
40,3,0,0,100,50
,,,,,
,,,,,13.3
20.8,15.2,,,,25
,,,,,
,,,,,
34.8,,,,,0
,2.8,100,63,20.2,
50,4.8,100,8.4,,23.8
29.5,,,16.2,60.1,13.7
77,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
17,5,,22.3,74.6,6
62,,,,,
,,,,,
,,,,,
9,,,,,
,,,,,
,,,30,,0
,,,,,
62,4.5,100,13,71,0
33.8,3.9,0,11.5,35.2,18.8
,,,,,
,,,,,
27.1,,,,,6.3
,,,,,
,,,,,
,,,,,
,,,,,0
,,,14,,
,,,,,
,13,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,9.8
,13,100,,,2.6
20,15,,5.7,70,25
,,,,,
55.7,8.4,,10.8,,45.8
,,,,,
,,,,,
9.7,4,0,27.1,64.1,2.6
100,,,0,,0
,,,,,
,,,,,
,,,,,
,,,,,
20,24.4,100,23.7,,0
,,,,,
28.1,1.3,100,0,,44.4
13.9,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
100,,100,,45,53.4
,4.3,,2.7,41.7,30.7
,,,,,
,,,,,
10.9,,,,,
59.9,,,28.1,,16.7
87.5,0.9,,,,85.7
15,10,100,20,70,
,,,,,
,,,,,
91.6,3.9,100,2.7,,73.3
,,,,,
,,,,,
66,1.5,100,0.5,68,40
,,,,,
,,,,,
,,,,,
70,7.5,97.8,17.1,60,38.4
50,1,,0,,50
,,,,,
,,,,,
,,,,,37
40,,,,,0
,,,,,15.4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,8.8,,8.8,,5.4
,,,,,
,,,,,
,,,,,
,1,,,30,
,,,,,
,,,,,
,8.2,,9.3,,26.3
,,,,,
,,,,,
,,,,,
74.1,5.3,100,,,75
,4.3,,,,
,,100,,,
,,,,,
,,,,,
44.4,8.3,,,,93.7
,,,,34,
,,,,,
20,,,,,19.4
,,,,,17.1
,,,,,
,,,,,
64.5,,100,,,
,,,,,
,,,,,
,,,,,
,,,,,
23,15.9,,10,71,0
,,,,,
,,,,,
92.3,2.7,,,,85.7
23.7,19.8,,,,23.7
,,,,,7.5
,,,,,
,,100,,,25
,,,,,
,,,,,
,,,,34.5,
,,,,,
10.9,17.4,,,31.9,2.6
,,,,,
,,,,,20
,,,,,
11.7,15,0,1,90,0
,,,,,
,,,,,
,,,,,
,,,,,17.8
,,,,,
,,,,,
36.2,12.1,,22.5,32,5.5
,13.4,,11.3,,
,,,,,
,,,,62,
,,100,,35,
,,,,,41
,8.1,,,,9.3
,,,,,27.3
,,,,,
,,,,,5.7
,,,,,
,,,,,
25,,,20,,0
11,26,0,0,15,33
,2,,15,,
,,,,,
,,,,,0.6
,,,,,
6.2,,,,,
68.1,9,100,14.5,,4.5
,,,,,
,8,,39,,33
22.7,,,,,
,,,,,
26.8,11.5,100,12.5,57.2,7
,1.2,,,,
,,,,,0
,,,,,
,,,,,
,,,,,
,,100,,,
5,,,,,
,,,4.6,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,,,,,
16.9,8.8,100,14.5,62,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
100,1,0,,,100
,,,,,
0,,,34,,0
59.2,,,,,
,,,,,
,,,0,,
33.3,4.6,100,1.8,55,33.3
,,,,,
,,,,,
,,,,,
80.9,8,,14,,29.5
74.3,13.1,,17,,29.5
32,11.6,100,13,35.9,11.1
,,,,,
,,,,,
,,,,,
30,5,0,30,30,0
11.4,3.1,,,,0
,8.8,,,,
,,,,,
,18,,,,
,4.5,100,19,,
,6.2,,,51,0
69.8,3,0,27,,0.7
,,,,,
,,,,,
11,16,100,11,67,
,,,15,70,56.6
,,,,,
,,,,,0
75.6,,,,,
68.1,,,,35,
,,,,,
,,,,,
16,21.3,0,4.2,56.9,
30.5,,100,15,80,
,,,,,
,,,,,
,,,,,
,2.9,,,,
70,7.5,97.8,17.1,60,38.4
60,4.5,100,17,100,27.2
,8.2,,,,5.6
,,,,,
,,,,,
31.6,5.2,100,,40,6.3
,,,,,
,3.5,,8.5,,100
36,2.8,,,,11.1
,,,,,
,,,,,
,,,,,
84,,,,,27
,,,,,
37.1,10.5,100,6.3,57.2,16.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,3,,,,
77.8,10,66.6,3,,54.7
50,0.6,,,,0
,,83,,,
28.5,7.2,,14.5,,30.5
,,,,,
0,1.6,0,13.1,24,0
20,2.5,,12,30,0
,,,,,
,,,5,,3.1
,,,,,
6.6,,,,,0
,,,,,
,,,,,
,3,100,,,7.6
,,,20,,100
83.3,6.8,,,,60
,,,25,,0
,,,,,
0,,,40,,0
56,,0,,,
,,,,,
100,,,,,
,,,,,
55.1,,,,,31.3
100,1,0,4,100,0
,,,,,
44,,,,80,
,,,,,
,,,23.5,,0
,,,,,
,,,,,
,,,,,
50,11,0,11.8,40,
,,,,,
48.1,3.3,,,80.9,29.4
,,,,,
73,,100,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
69.7,,,,,53.3
,,,10,48,
,,,,,19
21.3,8.4,100,8.5,74.4,11.8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
71,,0,,,
,,,,,
,,,,,
,,,,,1.5
,,,,,
,,,,,
,,,,,
,,,,,
54.4,13.9,100,4.9,35.2,33.3
,,,,,
58,,,,,
,,,15,,20
16,,,,,0
,,,,,
,,,,38.4,
0,,,,,0
,,,,,
55.5,3,0,21,2,1.6
42.2,17,100,,69.4,3.7
21.7,8.8,100,8.3,39.9,
,,,,,
,,,,,
49.2,,,,84.7,34.9
,,,,,
74.3,8.7,,,,57.1
20.5,15.5,80,9,,33.3
35.4,20.7,,9,65,13.7
,,,,,
,,,,,
,,,,,
47,,100,,72,
21,15.7,,,,
,,,12,,7.3
5.5,11,100,,41,5.6
,,100,,,7.1
0,,,,,0
,,,2.5,,0
,,,,,5
,,,44,,0
,,,,,
29,10,100,20,100,0
,,,,,
75,,100,,,
,,,,,
,,,,,
37.4,,,,63.9,9.9
43.5,3.3,100,10,30,0
,,100,0.9,,50
16,9.7,,6.5,60,0
35.2,16.4,150,,49.2,11.8
,,,,,
,,,,,
,,,,,
,,100,,,
,,,,,
33.3,,,,,0
23.6,,,,,1.2
17.8,12,,19.8,,0
20,8.2,100,,,
,,,,,
41.4,5,,11,,16.3
,,,,,
15.6,18.3,100,20,74,
52.5,11,,20.4,,15.7
57.6,,100,,80.1,26.9
38.5,14.4,100,13.8,68,21.8
20.3,,,,77.7,
,,,,,
,,,,,
,,,20,,0
,,,,,75
,,,,,
,,,,,
,,,16.6,,0
16.2,16,100,,,3.3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
53.9,,,,69.6,24.8
,,,,69.9,0
,,,,,10
,,,,,
,,,,,
8,,,4,,
,,100,,,7
,,,,,
,12.2,,,,
9.9,,100,,64.8,
93,,,,,
,,,,,
,,,,,
,,,,,
39.7,13,100,13.3,56.1,8.7
,,,,,
,,,,,
,,,,,
,,,,,
13,,,10,,3.9
,,,,,
25.6,,100,12.7,45.6,0
100,23.5,0,,,20
65.4,40.7,7.2,5.5,12,43.4
41,15.7,100,15.4,80.9,4
9.8,,100,17.2,72,1.7
53,,,10,,33
,,,,54.8,
,,,,,
11.1,9,0,,,
50,9,100,0.4,73.1,100
,,,,57,6
0,,,,,
,,,,,
43.7,22.4,,3,,14.4
,,,,,
,,,,,
,,,,,0
,,,,,
,,,,,66
1,16,0,14,75,0
,,100,11.1,66.9,
11,,100,16.5,77.1,0
,3,,,,
4.9,11.2,100,28.2,54.5,1.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,4.5,100,,,6.3
16,,14,,,
15,,,12,,25
,,,,,62.5
,,,,,
10.7,,,,70.4,
29,,,5,,
16,25.7,,,,
41.6,,100,,,
14,5.2,,,,
87.5,6.5,100,10.8,,55.6
,7.4,,13.5,,0
,,,,,
23,11.2,100,13,,10
,,,,,
,,,,34.1,
33.3,5.8,20,,,9.1
,,,23.2,,0
14,17,,8.1,,
,,,,,
,,,20,,21
,,,,,
,,,3.5,,8.8
100,,,,,
,,,,,
,,,,,
,,,20.5,,25
,,,,,16.7
33,8.4,,3.8,,0
57,,,,,
,,,,,
,9.8,100,21.5,,5.3
,,,,80,20
,,,,,
66,12,,,,33
,11.4,,12.5,,12.5
,,,,,
,,,,,
,,,,,
,,,,,
23.9,17,,,,15
5.5,18.6,100,5.5,50,1.6
37.3,12.9,100,12.9,59.7,8.2
,,,,,
33,5.5,,11.4,,25
,,,,,
1,3.2,,,,
,4,,,,40
,,,,,
35.4,17.8,0,18.1,,5.9
32,6.2,100,11.6,50.8,9
,,,,,
,,,,,
,,,,,
12.5,8.8,,,,3.8
,,,,,
,,,,,
,,,,,
,,,,,
30,,,0,,8.2
26,7.1,,,,
4.2,13.7,,,,
62.7,,,2,,
,,,,,
,,,,,
20,13.3,,,52,0
,,,,,
4,,,,,
,,,,,
,8,,,,
,,,,,
,,,,,
,,,,,
,,,,,
4.8,5.8,,,30.2,2.6
,,,,,
19.4,16.5,100,19.1,44,0.9
67,,,,,27.2
,,,,,
10,16.2,100,22.3,92.6,2.5
5.9,20.9,100,17.6,98.2,1.1
2,,,,,0
,,,20,79.3,1.6
,11.8,,,,
10.3,18.9,100,5.5,46.2,2.5
10,9.2,100,14.1,45.6,0.3
43.4,12.3,100,20.2,69.8,23.4
,,,,,
,,,,,
10,13.6,100,6.5,,
,,,,,
,,,,,
11.8,16.9,100,15.3,,
,,0,,,5.4
,,,,,
,,,21.9,,4.4
56,,,,,
,,,,,
,12.7,,,,3.3
17.5,11.5,100,14.1,35.5,2.7
,,,,,
8.9,11.5,100,24.8,67.1,0.2
6.2,16.3,,,,1
,,,16.3,,6.7
23.9,13.4,,8,,2.2
,,,18,,
76,5.4,,,,26
5.9,9.5,100,10.2,87.5,0
,,,14.6,,0
,13,,,,
,,100,,,
4.1,17,100,18.3,71.9,0
,,,,,
10.3,12,,,,1
7,3.1,88.2,,,2.6
,,,15,,0
,,,,,
22,7,100,,,1.5
,,,,,
26.7,7.2,100,33.3,43.3,8
,,,,,
,,,,,
5.3,5,100,,30,2.6
2,4,0,33,,0
,,,,,
12,4,,,,0
9.1,14.4,,,74.3,1.4
,,100,,,1.1
,5.4,,,,
,,,,,
20.4,,,,57.5,0
,,,,,0
15.4,,,11,50.7,10.7
,,,,,
,,,,,
,,,,,
,,,,,
,,,17.4,,0
,,,,,
0,,,,,
,,,,,
,26,,16.2,,1.8
28,,100,,65,
12.1,11.8,100,7.1,90.6,12.1
50,19.3,,8.1,,28.6
32.5,10.9,100,12.5,63.3,12.7
25,5,,35,,6
,,,,,
,,,,,
,,,,,
96.9,,,,,
,,,,,
,,,11.6,25,0
12.1,3.5,0,13.2,63.4,0
,,,,,
,,,,,
,,,,,
,16.8,,,,
,,,,,
9.9,5.7,100,4.1,42.7,0
,,,,,
,,,,,
,,,14.8,,14.7
56.9,8.9,,0.8,,64.2
,,,,,
,,100,9.4,,
,,,,,
,,,,,
,,,,,
20.1,6.1,100,17.7,56.6,6.6
16.8,6.3,0,12.1,72.9,4.8
,,,,,
14.9,6.8,0,15.3,61.1,0
,,,,,
,,,,,
,,,,,
,,,,,
61.7,8.8,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,10,,
,,,,,
,,,,,
42,5,100,,82.2,19
10,22,,,50.4,21
,,,,,
,13.6,,,,
,,,,,
,6.8,,,,16.2
,9.9,,,,0
,,,,,
,,,,,
64.8,11.7,100,6.8,67.8,35.7
24,11,100,,,38
,8.6,,,,80.9
90.5,4.6,100,,,
64.8,,100,,,37.5
,,,,,26.9
,,,2.3,,60
,,,,,
50,,,,60.7,
,,,,,
,11,,,,28
,13.3,,,,13.6
,,,,,
42.4,11.2,,,,27.9
,,,,,
,5.1,,7.4,,27.7
18.7,10.4,,,47.1,24.5
26.5,,,,,
50,,,,,
,,,,,
41.8,10.8,100,10.4,59.6,22.2
54.2,12,,,40.6,40
,,,,,
,,,,73,
45.6,18,100,,,40
41.7,9.9,,8.5,,33.8
,,,,,
27,11.3,0,6.8,47.8,13.5
,,100,,,
33.2,8.7,,,,20
,,,,,
,,,20,,
,,100,,,28
80.6,15.9,,,55.3,61.5
,11.5,,9.8,,42.9
,,,,,
,11.3,,,,
,,,,,
,,,,,
50,3.6,,,,23
,,,,,
,,,,,
,,,,,
,,,,,14.9
,,100,,,13.3
,10,,,,9.3
28.1,13.3,87.5,,,13.5
,,,,,
,,,,,
,17,,34,,57
,,,,,
,,,,,
26.7,10.3,75,,,32.4
,,,,,
40.1,5.8,,9.2,,27
32.1,,,,39.8,
,,,,,
,15.7,,,,31.3
,,,,,15
,,,,,
,,,,,14.4
,,,,,
,,,,,
,,,,,
,14,,,,
18.2,,100,,,
,,,,,
,9.8,100,,,26.2
65.9,,,6.4,87.1,18.2
,,,,,
,9,,,,
,,,,,
,,,,,
,,,,,1.5
12.8,,,,53.1,
,7.8,,,,
,6.6,,,54.6,6.7
22.7,10.8,100,16.6,,
,,,25,,0
60.9,10,100,20,,3.2
,,,,,
,12.3,,,,
,,,,,
14.2,4.3,,2,,60
11.4,,100,36.5,49.6,0
,,,,,66.7
,,,,,
,,,,,
,,,,,
0,,,,,
,8.2,,,,50
14,15.5,,,,
,,,,,57.1
17.1,9.2,100,5.5,47.6,0.8
,13.6,,,,10.4
8.2,,,,,
,,,,,
8,18,0,8,61,14
,,,,,
,,,1,,0
,,,,,
,,,,,
,,,,,
,,,,,
,7.5,,,,11.1
15,4.4,,,,0.5
,,,,,
11,12,,,,3
13,2.8,,16.5,43,8.2
,,,,,0
100,,100,2.1,89.3,100
40,,,,,
19,2,,,,
29.1,8.1,,,,
23,,,,,
,,,,,
,,,,,
,,,,,
19.4,7,100,,,2.3
,,,,,
,,,,,
,,,,,
67,14,0,7.2,19,0
,,,,,
100,7.8,100,0,100,100
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
29,9.3,,17,,8.3
100,1.9,0,10,,53
25,4,0,10,0,33
63.9,8.9,100,2.2,67,60
,,,,,63.6
,,,36.9,,23.3
10.1,16.6,,13,,1.7
,,,,,
,,,,,
,,,,,68.2
,,,,,
,14,100,,84,
7.4,36,100,10.5,55.8,7.4
,,,8.5,,
,,,,,
,,,,,
,,100,,,9
,,,,,
,,,,,
20.4,,,,80,
19,19,,25,28,5
75,,,,,
24.9,9.8,100,6.2,66.6,1.4
,,100,24.6,,3.2
100,,,,,
3.6,3.2,,,,
,,,,,
25,13.9,100,4.9,,6.8
,,,,,
,,,,,
82.1,8.2,98.1,2,,44.8
,,,,,
,,,11,,
25,,,25,,
,,,,,
,,,,,
,13,,,,2
65.4,9.8,,,,
56,,,,,
19,14,100,11.9,,25
26.6,12.6,100,4.6,,3.2
,,,,,
,,,,,
,8,,,,
,12.3,,6.4,,11.3
6.9,19,100,15,5,0
12,,,,59,
26.8,,,,,
10.4,,1.3,,,
26.3,,100,8.5,80.7,11.1
,,,,,
29.4,13.4,,9.3,,0
,20.2,,,,2.9
,,100,,,11
,1.9,,,,
,,,,,
19,10.1,100,12,39.4,1
,,,,,
,,,,,
,,,,,
42.9,,,7.8,78,14.3
,,,,,0
0,,,,,
70,,0,,,
,,,,,
,,,20,,41.5
12.1,13.4,100,6,85.3,6.5
,,,,,
,,,,,
,,,,,
,,,,50,
100,,,,,
,,,,,
18.2,8.4,,18.7,,4.3
,,,10,,
,,,10,,
,,,,50,
30,,,,,
,,,,,
,,,1,,0
51.1,,,,,27.8
,,100,,,35
28.5,,100,11.3,,8
21.2,9,100,13.8,,9.9
,5.9,,,,
,,,,,
85.7,8.4,,1,51,50
,,,,,
,,,,,
91.2,3.8,,,,85
21.9,10.1,100,23.1,69.5,5.2
,16,100,,55.4,
21.3,12.7,100,,62.6,1.3
,,,,,
40,15.7,,,,
,,,,,
,,,,,
19.2,14.7,100,4,81.2,4.2
,8.5,,18,45,3
65.4,,,,85.1,35.2
,,,,,0
,,,,,
47,6,,18,,0
16.1,19.4,,,,
,,,,,
66,14,100,,,
,,,,56.5,
,,,,,
,,,,,24
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,14.3
43,,100,18,59.2,6.7
,13,,18.2,,7.3
,10,,21.9,42,3
,,100,,,48
35,14,,,,
67,11,,,,53
34.6,16.1,,,,14.3
,,,,,
,3,0,4.2,16,0
19.2,6.5,,,,
,,,,,
,,,,,
12.8,,,,63,
,,,,,
,,,,,
,7.1,,5,,1.1
,,,17.5,,25
,,,15,,17.2
32.4,3,100,17.6,74,22.2
0,,,0,,0
,,,,,9.1
14.2,12.3,83.3,,,1.8
20.7,6.9,,,,4.8
24,18.2,100,8.9,75,19
,,,,,0
46.3,9.6,0,33.4,50.3,11.1
71.7,,100,,,40
0,,0,28.5,,0
83,,,7.3,,
,,,22.9,,0.9
,,,,,
0,,,,,50
,,,,,
,,,,,
14.2,12.2,100,15.1,68.8,2
12,,,,,
17,11.1,100,32.6,75,1.6
,,,,,
100,,,10.9,,
100,4,25,1,15,
64.6,8.7,100,43,30.3,44.4
,,,,,
17.4,,100,,,12.5
,,,,,
,,,,,1.7
,,,,,38
,,,10,,0
,,,,,72
,2.6,,13.4,,21.4
,,,,,
,,,,,
73,5.3,0,,,60
,,,10,,
,,,,,
56.7,4.9,,10.7,,56
,,,,68,100
64,7,100,7.4,73,42
,,,16.7,,
25,6,100,,,25
,,,,,
,,,,60,
,,,,,
62.5,5.6,100,3.7,79.2,50
57.4,9.1,100,13,65.7,35.7
,8.6,,17,,100
54,1.4,,,,0
29.9,,,,68.4,
,,,,,
0,0,,16.6,25,0
,,,,,
97,4.3,95.9,4,72.6,33.3
,,,,,
18.6,,,,,
,,,,,6.3
16.5,22.5,100,0,82.8,3
19.7,,,2.4,,4.2
11.6,,,17.6,,1.7
30.5,11.9,100,0,69.6,5.1
40,12.5,100,3.7,90,6.3
41,10.2,100,0,,8.2
19.9,20.3,100,,61.6,
16.9,16.5,100,9.7,84.8,2.1
12.8,12.6,100,0,57.8,1.6
,18.7,100,13.4,63.1,
,13.9,,,,
8.9,,100,,40.8,
,,,16,68,
20.9,11.8,100,,61.7,
41.1,11.5,100,8.7,74.8,21.9
23.8,23.3,100,0,85.2,2.7
28.5,22,100,4.1,69.9,1.1
,12.3,,7,67,
,,100,,,1.2
18.6,19,,0,63.9,2.9
16.4,10.8,100,8.3,,2.7
75,41.3,,2,20,50
58.9,,100,0.7,80,53.8
,,,,,
,,,,,36
,,,,,
27,,,,,
25,4,,,,
22.2,,100,7.2,76,9.1
,,,14.5,,
,,,4,,28.5
29.9,20,100,5.9,,14.3
63,,,,100,
75,22,,,75,
22.7,12.5,100,9,,18.2
3.3,4.2,,,,
,,,,,
,,,,40.7,
9.2,12.5,,13.4,,20
,,,,,
30,13.6,100,10.9,70,0
,,,,,
,,100,,,54.2
,,,,,
,,,,,
,,,,,
,,,,,
40,4,100,7.5,100,
63,6,,,,11.1
22.2,15.5,,,,
,,,,,
23,12.8,100,17.2,67.9,0
,,,,,
79,5,,,,
,,,,,
23,,,,96.8,
,,,,,
8.6,,,,,0
,15.2,,,74,2
,,,,,
19.4,20.7,100,19.4,59.2,0
70,25,80,5,14,36
8.5,17.5,97.9,17.4,83,1.6
,,,25.8,,5
,,100,,,
76,10,0,1,90,50
24.3,21.3,,,,
32,8,,,,
,,,,,
,,,,,
,,,30.8,,
,,,6.9,,7.1
50,8,100,,70,
,,,,,
13,16,100,14,100,0
18.2,14.6,,1.3,,2.7
14.7,16.5,100,16,76.7,3.3
,,,,,
,,,,,6.1
,16.3,,19.5,,5
48.5,12.6,100,7.5,63.8,11.7
100,,,10,,
93.2,,,1,,0
,,,,,
,,,,,
,,,,,
,,,,,
,30,,,,
16.7,,,,,
,,,,,
,11.6,,22.3,17.3,4
8.8,15.4,100,11.3,71,2.1
10,12.4,,11.5,71.8,1
,,,,,0
7,7,100,13,,0
,,100,,,
,6.6,,1.5,39,6
,,,,,
,,,,,
,,,,,
,,,26,,
16.5,13.3,100,13.5,72.3,15.4
,,100,,66,
90.4,,,15.1,,81.3
7,,,,,
75,,,,,25
,11.2,,10.4,,23
,,,,,50
27,1.2,,11.8,,33
66.7,5.7,100,1.3,,50
26.4,6.2,100,19.2,56.6,4.8
,24.5,,14,29,
44.4,8,100,13,45.7,30.2
,,,,,
,,1.5,20,,1.3
3.1,7.3,,20.7,,4.1
,,,,,
46,12.2,100,17.6,62,10.2
,4,,19.8,42.2,1.7
55.6,10,,,,4.6
,,,,33.9,38
,,,,,0
80,19,1,25,27.1,2.3
,3.4,,18.7,,25.5
,,,,,
54,12.4,100,22.4,41.5,16.6
,,,,,
,,,,,
27,,,14,,
,10.1,,,,20
7.1,7.3,100,,,8.4
,,,,,
0,,,4.6,,0
15.2,,,24,,
,,,,,
,,,,,
9,9.6,100,17.2,72,1.7
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,15,,
79.5,5,100,6,53,86.7
,,,,,
,,,5,,46.2
15,6,0,40,80,0
15.9,15,,22.3,,3
,16.8,,,,1
,,,,,
,13.7,,,,
,,,2.8,,22
30.9,7.5,96.9,,57.5,24.1
23.3,17.5,,,,0
35.7,2,,,,33.3
68.4,8,100,,,
,,,,,
,8,,,,
,,,,,
,15.4,,16.6,76.7,3.5
,13.6,,,,
,,,,,
,9.3,,,83.3,6.8
,,,,,2.1
,,,,,
18.3,,,15,62.5,
,,,,,
,,,30,,6.5
,,,,,
,,,,,
,,,,,
,,,,,
18,,100,32,60.2,2
,,,,,
,,,,,
46.6,11.9,100,18.4,54,13.2
,12.5,,,,
,,,,,
,,,,,
,,100,,,80
57.6,7,,2.4,60,57.1
,12,,,,24
41,13.8,100,10.6,60.2,11.7
29.7,15.4,100,,62.9,
,,,,,
,,,,,
,,,,,
40.9,12.2,100,11.4,60,9.3
,,,26.2,,10
18.3,13.3,100,13.7,67.4,3.1
,8,,,,7.4
,,,,,
12.1,14.7,100,8.2,37.2,7.3
,,,,,
,,,,,
100,15,0,1,57,0
,4.3,,,,
,,,,,
,,,,,
,,,,,
,,,,,33.3
42.8,18.9,242.9,8.5,44.2,14.5
40,6.6,100,13,12,10
,,,,,
,,,10,,
,,,6.6,,51.6
,,,,,
23,11.8,100,18,60.8,5.6
,,,20,,0
18,,100,,,
13.3,8.5,0,22.6,,5.9
,,,,,
,,,,,26.6
,,,,,
14.6,4.6,,,,
,,,,,
22.8,,100,,,8
,,,,,
66.5,7.6,100,,,
,,,,,
,,,,,
,,0,,,25
,0,0,,,0
27.9,10,100,12,40,0
,,,,,0
71.8,9.8,100,0.5,82.7,
,,,25.1,,0.6
9,,,5,,
,,,,,
,8,,,,83
,,,,,
7.2,14,,,,
35.4,7.5,100,,,10
,,100,21.7,,9.5
26,,,,,
,,,,,
,,,,,
22,8.2,100,35,,4
49.8,,,,,50
47.5,11.2,100,26.7,,1.5
,,,,,
,,,,,
,,,,,
,6,,,,
35.6,7.8,,7.1,61.9,6.2
,,,,,
12.9,16.8,100,15,55,0
66,,,,,
50,,,,62.5,33.3
54,,100,,,13
,,,4.5,,34.8
,,,,,33
22.3,14,100,6.1,56.1,5.3
,,,,,
,,,,,
,,100,,,50
,,,,,
9.9,21.7,104.7,14.2,64.7,11.2
9,7.2,,33,59.1,6.3
,,,2,,0
,5.3,100,11.1,,
,,,,,
,12,,,,
,19.8,,,,1.2
,,,,,
,,,,,
,,,,,
16.3,11,,,,
,,,,,
,13.3,,,,
,,,,,
7.2,,0,,,18.1
10.4,19.2,100,17.5,,1.1
,,,,33,
67,2,0,35,25,5
23,19.1,,17.5,71,9
,,,,,
27.6,10.3,,,63.7,
12.5,,,,60,
12.1,28.5,,0,80.1,12.1
,,100,,65,7.1
,,,,,
,10.7,,,,
,9.8,,,,15.3
,6,100,,,16
7.4,9.9,88.9,30.4,63,0.6
,,,,,14.3
1,1.5,,35.7,,0
,,,,,
,13.1,,16.9,40.4,8.9
22.2,9.8,18,3.2,18,0
25.2,11,,14.5,46.2,7.8
12.9,10,100,12.3,,0
25,,,23.5,,
24,13,100,12.6,62,0
,,,,,0
,,,,,
,,,,,
34.2,13.6,100,,66,5.3
,10.2,100,,,21
33,14,3,,,
,,,0,,22
,3.2,,,,
61.5,4.6,0,2.6,95,0
7.1,9.9,100,6.2,40,16.9
42,,100,,,
,,,,,
,,,,,
8.8,11.5,,,,4
30,13,100,21,41,33
44.4,12.2,,,,
,15.7,,,79,
60,7.7,66.7,6.9,20.2,50
,,,,,
,,,,,
20.8,8,,8.5,,16.7
,,,,,
22.1,19,100,9.5,,5
,,,,,
,,,,,
66.6,7.5,,0,,
,,,,,
,,,,,
,,,,,
31.5,,100,,,12.5
,,,,,
100,,,,,
,7.8,,13,,6.1
51.3,,,7.3,63.6,
,,,,,
17.6,11.5,100,7,67.3,3.1
,,,37,,
,7.7,,,,
24.7,16.9,100,21.5,80,9.7
23.8,16.9,100,21.3,64.5,7.6
27.3,17.5,100,10.8,67.1,6.2
,,,,,
,,,,,
,,100,,,
12,,,,15,
,12.4,,,,0
9.1,0,,3,,50
,24.5,100,10.4,,30.8
32,,,13.3,60.2,18.4
,15,,,,
,14.7,,17.4,,28.6
,,,23.6,,
,,92.8,,,
14,8.8,0,30,45.5,27.2
6.7,6.7,0,,,0
,3.1,,22.4,,0
51.4,,100,,68,12.5
41.4,17.2,92.3,0.6,67.6,20.1
50,8.6,,29,,33
,,,,,
30,7.2,,,44,1.4
,,,,,
,,,,,
,,,,,
,,,,,
18.2,,,,67.3,3.8
,,,5,,0
,,,,,
100,,100,,,0
,,,,,
35.2,6.8,85.7,18,34.8,18.5
20.5,,,15,,2
,10,,,,
42.4,6,,,,12.4
,,,,,
,,,,,
,5,,,,
